Time,Open,High,Low,Last,Change,Volume
08/30/2018,60.452,60.92,59.544,60.63,-0.372,36083500
08/29/2018,62.054,62.37,60.738,61.002,-1.37,37236500
08/28/2018,63.682,63.776,62.238,62.372,-1.482,38245000
08/27/2018,63.6,64.487,61.762,63.854,-0.71,65396000
08/24/2018,64.14001,64.77,63.88,64.564,0.544,18012500
08/23/2018,63.828,65.464,63.62,64.02,-0.308,25736000
08/22/2018,64.174,64.776,62.934,64.328,-0.052,29729500
08/21/2018,62.122,64.958,61.8,64.38,2.692,65861000
08/20/2018,58.34,61.7,57.64,61.688,0.588,87011496
08/17/2018,64.7,65.354,60.706,61.1,-5.99,94793000
08/16/2018,67.982,68.456,66.764,67.09,-0.648,30320000
08/15/2018,68.382,68.898,66.428,67.738,-1.79001,45506000
08/14/2018,71.69,71.84,69.42001,69.52801,-1.754,34932000
08/13/2018,72.22601,72.638,69.804,71.28201,0.18401,52319000
08/10/2018,70.8,72,69.2,71.098,0.60799,57760000
08/09/2018,73.11,73.402,69.146,70.49001,-3.57799,85919000
08/08/2018,73.818,76.52801,73.424,74.068,-1.846,122855496
08/07/2018,68.768,77.492,67.83,75.914,7.516,154378496
08/06/2018,69.092,70.996,68.36401,68.398,-1.236,42821500
08/03/2018,69.562,71,68.506,69.634,-0.274,68282000
08/02/2018,65.688,69.998,64.632,69.908,9.74,116074496
08/01/2018,59.598,60.6,58.6,60.168,0.54,50647000
07/31/2018,58.45,59.664,57.814,59.628,1.594,25384500
07/30/2018,59.18,59.22,57.226,58.034,-1.402,34070000
07/27/2018,61.45,61.538,59.068,59.436,-1.894,28516500
07/26/2018,60.97,62.14,60.728,61.33,-0.418,23152500
07/25/2018,59.348,61.924,58.9,61.748,2.262,35470500
07/24/2018,60.884,61.5434,58.509,59.486,-1.154,47953500
07/23/2018,60.368,61.1,58.572,60.64,-2.076,54964500
07/20/2018,64.246,64.648,62.342,62.716,-1.33001,25832500
07/19/2018,63.266,64.708,62.802,64.04601,-0.72399,29576500
07/18/2018,65,65.1,63.25,64.77,0.232,28121000
07/17/2018,61.762,64.948,61.7,64.538,2.518,34981000
07/16/2018,62.342,63.032,61.25,62.02,-1.754,39093000
07/13/2018,63.116,63.917,61.85,63.774,0.432,29378500
07/12/2018,64.286,64.646,62.554,63.342,-0.45,28605500
07/11/2018,63.16,64.388,63.014,63.792,-0.702,24420000
07/10/2018,64.912,65.536,63.84,64.494,0.792,47357000
07/09/2018,62.398,63.704,61.6,63.702,1.922,37983500
07/06/2018,60.99,62.414,60.4,61.78,-0.052,44327000
07/05/2018,62.752,62.878,59.244,61.832,-0.34,87381496
07/03/2018,66.35,66.498,61.938,62.172,-4.842,61413000
07/02/2018,72.014,72.956,65.97,67.014,-1.576,93798496
06/29/2018,70.666,70.772,68.482,68.59,-1.396,32461500
06/28/2018,69.732,71.404,69.222,69.986,1.086,41990000
06/27/2018,69,70.158,67.9,68.9,0.5,41668500
06/26/2018,67.21,68.71,65.16,68.4,1.79799,37262000
06/25/2018,66.024,67.694,65.5,66.60201,-0.124,34656500
06/22/2018,70.30801,70.45,66.4,66.72601,-2.776,51330000
06/21/2018,72.4,73.242,69.254,69.50201,-2.94199,39835500
06/20/2018,71.608,72.876,70.4,72.444,1.934,41918000
06/19/2018,73.03201,74,69.25,70.51,-3.656,63809500
06/18/2018,71.08,74.746,70.9,74.166,2.532,60366000
06/15/2018,70.768,72.93401,70.25,71.634,0.09,54241000
06/14/2018,69.526,71.75,69.32,71.544,2.588,54905000
06/13/2018,69.342,69.44,67.96,68.956,0.402,47349000
06/12/2018,68.94,70.994,67.6,68.554,2.13399,111737000
06/11/2018,64.50201,66.932,64.5,66.42001,2.88801,65917000
06/08/2018,63.8,64.896,63.43,63.532,0.314,41026000
06/07/2018,63.23,66,62.716,63.218,-0.682,71726000
06/06/2018,60.1,64.43401,59.496,63.9,5.674,93836000
06/05/2018,59.54,59.56,57.348,58.226,-1.122,29975500
06/04/2018,58.868,59.8,58.71,59.348,0.984,23989000
06/01/2018,57.172,58.39,56.768,58.364,1.418,27121500
05/31/2018,57.442,58.074,56.586,56.946,-1.398,29598500
05/30/2018,56.658,59.001,56.32,58.344,1.592,37448000
05/29/2018,55.702,57.3,55.23,56.752,0.982,28333000
05/25/2018,55.526,55.92801,55.122,55.77,0.2,19375000
05/24/2018,55.68,56.222,54.978,55.57,-0.244,20883500
05/23/2018,55.552,55.982,54.8,55.814,0.812,29925000
05/22/2018,57.552,57.6,54.684,55.002,-1.896,44728500
05/21/2018,56.266,58.298,56.26,56.898,1.534,45912500
05/18/2018,56.93,56.93,54.8,55.364,-1.544,36259000
05/17/2018,57.18,57.838,56.794,56.908,-0.388,22103000
05/16/2018,56.766,57.762,56.312,57.296,0.46,28370000
05/15/2018,57.002,57.392,56.1,56.836,-1.558,47595500
05/14/2018,60.664,60.988,58.324,58.394,-1.818,36434000
05/11/2018,61.54,61.776,59.816,60.212,-0.792,23398000
05/10/2018,61.5,62.598,60.822,61.004,-0.366,28257500
05/09/2018,60.082,61.402,60.01,61.37,0.976,28636500
05/08/2018,60.16,61.55,59.8,60.394,-0.16,29650000
05/07/2018,59.5,61.192,59.034,60.554,1.736,43391000
05/04/2018,56.6,59.372,55.904,58.818,1.928,42846500
05/03/2018,55.758,57.608,55.046,56.89,-3.34,86760496
05/02/2018,59.714,61.37,59.556,60.23,0.246,44851500
05/01/2018,58.702,60.164,58.644,59.984,1.204,23128000
04/30/2018,58.722,59.746,58.5,58.78,-0.035,21140500
04/27/2018,57.074,58.894,56.766,58.815,1.719,21823000
04/26/2018,55.75,57.158,55.3,57.096,0.958,21780000
04/25/2018,56.7,57.032,55.45,56.138,-0.554,20067500
04/24/2018,57,57.418,55.692,56.692,0.018,28426500
04/23/2018,58.258,58.324,56.466,56.674,-1.374,24466500
04/20/2018,59.034,59.996,57.95,58.048,-1.968,28139500
04/19/2018,58.216,60.202,57.71,60.016,1.346,30452500
04/18/2018,58.216,60.048,57.632,58.67,1.132,32788500
04/17/2018,57.774,58.434,56.502,57.538,-0.704,35000000
